출원번호,발명의 명칭,출원일자,CPC,독립항 수,종속항 수
1020220115006,복수의 충전모듈을 통해 차량을 충전하는 방법 및 그 차량 충전 장치,20220913,B60L 53/67,8,3
1020220113560,"에어포켓 방지 기판, 에어포켓 방지 기판 모듈, 이를 포함하는 전기기기 및 이를 포함하는 전기기기의 제조 방법",20220907,H05K 5/06,7,14
1020220113723,유기 발광 표시 장치의 제조 방법 및 상기 제조 방법에 의해 제조된 유기 발광 표시 장치,20220907,H01L 51/56,1,10
1020220113794,전자 장치 및 그 동작 방법,20220907,G06F 3/04883,3,2
1020220113795,입체 음향 재생 방법 및 장치,20220907,H04S 7/00,3,6
1020220112302,초음파 진단장치 및 그에 따른 초음파 진단 방법,20220905,A61B 8/00,2,10
1020220111468,광학특성 색가변소자 및 그 제조방법과 제어방법,20220902,G02F 1/167,6,6
1020220110803,규화 금속들을 형성하는 방법들,20220901,H01L 21/285,19,0
1020220108988,음식물 분리 수거함 세척 장치,20220830,B65F 7/00,1,9
1020220108583,친환경 천연 공융 용매로 추출한 추출물을 포함하는 화장료 조성물,20220829,A61K 8/9789,13,0
1020220107761,재생칩을 사용하여 제조된 재생 PET 필름,20220826,C08J 5/18,4,12
1020220107800,에너지 자립형 태양광 발전 시스템,20220826,H02S 10/30,4,12
1020220107149,사진 촬영과 관련된 추천 정보를 제공하는 방법 및 시스템,20220825,H04M 1/72403,3,17
1020220106357,무선 통신 시스템에서의 다중 전송 스케줄링을 위한 방법 및 장치,20220824,H04W 72/04,6,14
1020220106057,천연 복합 추출물을 포함하는 탈모 예방 또는 발모 촉진용 조성물,20220824,A61K 8/9789,10,0
1020220105655,"합성 긴 펩타이드의 면역원성 예측 장치, 면역원성 예측 방법 및 컴퓨터 프로그램",20220823,G16B 35/00,3,11
1020220105641,무인이동체 위성항법 유도 장치 및 방법,20220823,G05D 1/10,5,7
1020220105772,모바일 디바이스에서 촬영된 전자 기기와 페어링하는 방법 및 장치,20220823,H04W 76/14,2,15
1020220104312,유기발광표시장치 및 그 제조방법,20220819,H10K 59/00,1,14
1020220103345,"다결정 소결체를 갖는 이차전지 양극, 상기 이차전지 양극을 포함하는 이차전지, 및 상기 이차전지 양극을 제조하는 방법",20220818,H01M 4/131,15,8
1020220103307,"최적 공급 전압을 위한 LED 드라이버, 발광 시스템 및 디스플레이 장치",20220818,G09G 3/34,13,0
1020220102180,배터리진단방법 및 그 장치,20220816,G01R 31/367,5,7
1020220102179,배터리 등가회로 생성방법 및 그 장치,20220816,G01R 31/367,4,6
1020220101591,전자 장치에서 알림을 제공하는 장치 및 방법,20220812,G08B 21/00,2,10
1020220100070,가상의 착용이미지 제공시스템,20220810,G06T 19/00,6,14
1020220099932,다기능 지게차 및 그의 운전방법,20220810,B66F 9/08,2,17
1020220098783,디스플레이 장치,20220808,H10K 59/00,7,18
1020220097582,미소부품 운송장치 및 그 제조방법,20220804,B65D 73/02,5,3
1020220096743,"마스크 조립체, 이를 이용한 표시 장치의 제조 장치 및 표시 장치의 제조 방법",20220803,H01L 51/56,1,8
1020220096925,메탈 보라이드들의 퇴적,20220803,C23C 16/38,20,0
1020220096747,자동 용접 캐리지의 가이드 링 설치용 지그 및 그의 사용방법,20220803,B23K 37/04,7,9
1020220096750,초음파 검사 장치의 프로브 모듈,20220803,G01N 29/04,5,10
1020220096751,상부 프로브 모듈과 하부 프로브 모듈을 사용하는 초음파 검사 장치,20220803,G01N 29/04,1,10
1020220096106,텍스트와 연관된 이미지 제공 방법 및 이를 위한 전자 장치,20220802,G06F 16/532,3,10
1020220096108,생체 신호 측정 장치 및 그 사용 방법,20220802,A61B 5/251,6,9
1020220095285,원자력 터빈 스러스트 베어링 체결구조,20220801,F01D 25/16,1,8
1020220094764,유기 막들의 퇴적,20220729,H01L 21/02,6,38
1020220094723,폐수 재이용 방법 및 장치,20220729,C02F 9/00,12,13
1020220095042,박막 트랜지스터 어레이 기판 및 유기 발광 표시 장치,20220729,H10K 59/00,2,18
1020220093868,"공동 주차장에서 사고 방지를 위한 방법, 장치 및 시스템",20220728,G08G 1/16,10,0
1020220093390,"스타필로코커스 속, 스트렙토코커스 속, 쿠티박테리움 속, 인하이드로박터 균주 및 DNA 단편 혼합물을 포함하는 화장료 조성물",20220727,A61K 8/99,11,0
1020220093457,표시 장치 및 그 제조방법,20220727,H01L 27/12,3,17
1020220092045,유기발광 디스플레이 장치 및 그 제조방법,20220725,H10K 50/80,1,15
1020220092067,디스플레이 장치,20220725,H10K 59/00,7,13
1020220092044,"주변 움직임 정보를 이용하여 움직임 정보를 부호화 및 복호화하는 장치, 및 방법",20220725,H04N 19/513,5,0
1020220092066,사용자 맞춤형 정보를 제공하는 방법 및 장치,20220725,H04M 1/72448,3,12
1020220092064,유기 발광 소자,20220725,H10K 99/00,5,15
1020220090619,3차원음향스터디 자동출력장치 및 방법,20220721,G06F 3/16,6,9
1020220088576,"부호화 순서를 고려하여 어파인 모델 기반의 예측을 수행하는 비디오 부호화 방법 및 그 장치, 복호화 순서를 고려하여 어파인 모델 기반의 예측을 수행하는 비디오 복호화 방법 및 그 장치",20220718,H04N 19/527,4,0
1020220088568,초음파 이미지 처리 방법 및 이를 위한 초음파 장치,20220718,A61B 8/00,3,21
1020220087526,산소 동위원소 농축수 제조용 촉매 및 상기 촉매를 이용한 산소 동위원소 농축수의 제조방법,20220715,B01J 23/46,10,9
1020220087385,"음향 신호의 렌더링 방법, 장치 및 컴퓨터 판독 가능한 기록 매체",20220715,H04S 3/00,1,2
1020220086990,유도탄의 로이터 제어 방법,20220714,F41G 7/22,2,10
2020220001720,비누 홀더,20220714,A47K 5/05,3,3
1020220086699,진공성형으로 제조된 돌기형 트레이,20220714,B29C 51/44,5,0
1020220086536,방사선 촬영 보조 장치,20220713,A61B 6/04,2,11
1020220086538,무선 통신 시스템에서 상향링크 기준신호 또는 채널의 송수신 방법 및 장치,20220713,H04W 72/12,10,0
1020220086535,인지기능 정상군을 대상으로 수행하는 아밀로이드 양성을 예측하는 장치 및 방법,20220713,A61B 5/00,5,12
1020220085276,디스플레이 장치,20220711,H01L 51/52,2,18
1020220085130,다개체 강화학습 시스템 및 방법,20220711,G06N 3/08,3,10
1020220084616,디스플레이 장치 및 이의 제조 방법,20220708,H10K 59/00,2,13
1020220083490,에어로졸 생성 시스템 및 에어로졸 생성 장치,20220707,A24F 40/50,2,5
1020220083491,에어로졸 생성 시스템 및 장치,20220707,A24F 40/50,3,4
1020220083812,셀 단위 교통 정보를 생성하는 장치 및 방법,20220707,G08G 1/01,3,15
1020220083813,"의료 데이터 제공 방법, 및 의료 데이터 제공 방법이 저장된 기록매체",20220707,G16H 50/20,2,18
1020220083492,에어로졸 생성 장치,20220707,A24F 40/50,2,8
1020220082479,리튬 전지용 음극 제조방법 및 이를 포함하는 리튬 전지,20220705,H01M 4/1395,2,12
1020220082111,인체장기모델 생성방법 및 그 장치,20220704,G06T 17/20,6,7
1020220081491,에너지 자립형 수전해 시스템,20220701,F01K 25/08,4,10
1020220081505,"버퍼 메모리의 할당 비율을 제어하는 메모리 컨트롤러, 이를 포함하는 메모리 시스템 및 메모리 컨트롤러의 동작 방법",20220701,G06F 12/06,20,0
1020220080711,구동 모듈 및 이를 포함하는 로봇,20220630,B62D 57/032,4,1
1020220080731,감속기 및 감속기 설계 방법,20220630,F16H 57/00,2,3
1020220079437,"복합 식물 추출물을 함유하는 나노리포좀을 유효성분으로 포함하는 항산화, 항염 및 피부 항노화 조성물",20220629,A61K 8/14,11,0
1020220080017,변위 정보 이분화를 통한 상호보완적 짐벌 제어 기반의 이동 객체 감시 장치 및 방법,20220629,H04N 7/18,5,8
1020220080055,플렉서블 디스플레이 장치,20220629,G09F 9/30,5,17
1020220079266,디스플레이 장치 및 그 제조 방법,20220628,H10K 59/00,1,14
1020220079276,자동차 구조체용 부재,20220628,C22C 38/38,2,12
1020220078348,"영상 부호화 방법 및 장치, 영상 복호화 방법 및 장치",20220627,H04N 19/124,4,2
1020220077817,박막 트랜지스터 어레이 기판 및 이를 포함하는 유기 발광 표시 장치,20220624,H10K 59/00,3,7
1020220077810,무선통신시스템에서 상향링크 전송전력 제어 방법 및 장치,20220624,H04W 52/14,4,16
1020220077710,차즈기 발효물을 유효성분으로 포함하는 화장료 조성물,20220624,A61K 8/9789,10,0
1020220077083,유기 발광 소자,20220623,H10K 99/00,15,3
1020220075680,사막 선인장 추출물 및 락토바실러스 배양액을 포함하는 화장료 조성물,20220621,A61K 8/9789,9,0
1020220074987,반도체 패키지 및 이의 제조 방법,20220620,H01L 23/495,2,5
1020220074988,인공지능 기반 모돈을 위한 사료 공급량 제어 및 그 장치,20220620,A01K 5/02,5,9
1020220073760,모노펄스 레이더를 이용하여 경사거리를 산출하는 방법 및 장치,20220616,G01S 13/44,8,12
1020220073061,디바이스를 이용한 화면 처리 방법 및 장치,20220615,G06F 3/01,3,17
