appno,title,applicant,date,cpc,cpc_sec,total_c,ind_n,dep_n,strategy,ind_cats,emb_len,bg_len,tf_len,conn_포함하는,conn_구비하는,conn_이루어지는,structural,functional,bracket_ref,inline_ref,sil_hyeon,sil_ye,yeo_jeong,do_myeon,techproblem,techsolution
1020250042688,블록체인에 기반하여 장애인 활동 지원 제도에서의 부정 수급을 방지하기 위한 장치 및 방법,주식회사 락코리아,20250402,G06Q 50/22	(2024.01),G,7,4,3,③ 3-way,방법|장치|기억매체|방법,14881,2802,158,2,0,0,2,11,73,5,True,True,False,False,False,False
1020240157760,냉장고 레일 보관용 포장 박스,주식회사 영지포장,20241108,B65D 5/20	(2025.01),B,5,1,4,⑪ 물건단독,물건,7967,1078,146,0,0,3,8,0,171,1,True,True,True,False,False,False
1020240167890,확산 방지 기능을 갖는 파티클 제거 장치,주식회사 제덱스,20241121,B08B 5/02	(2006.01),B,8,1,7,⑨ 장치단독,장치,8632,1308,138,0,0,0,6,1,253,0,True,True,False,False,False,False
1020250068250,2중계 무절연 AF 궤도회로 및 이를 이용한 모니터링 방법¶2중계 무절연 AF 궤도회로 및 이를 이용한 모니,주식회사 한성테크¶대아티아이 (주),20250526,B61L 1/18	(2006.01),B,7,2,5,② 순수형,장치|방법,77016,9547,344,11,0,0,13,3,165,1,False,True,False,False,False,False
1020240188076,인공지능 모델의 학습을 위한 클라우드 기반의 문서 관리 시스템¶인공지능 모델의 학습을 위한 클라우드 기반의 ,주식회사 두잇플래닛,20241217,G06F 16/93	(2019.01),G,8,3,5,③ 3-way,기억매체|방법|장치,42164,626,158,11,0,0,11,13,387,0,False,True,False,False,False,False
1020250020638,항바이러스제 제조 방법 및 장치¶항바이러스제 제조 방법 및 장치{METHOD AND DEVICE FOR MA,(주) 칼리시,20250218,G16C 20/50,G,36,6,30,③ 3-way,방법|장치|기억매체|방법|장치|기억매체,29156,528,33,42,0,0,42,24,101,7,False,True,True,False,False,False
1020240161539,원통형 이차전지 캔 및 그 제조방법¶원통형 이차전지 캔 및 그 제조방법{The cylindrical can ,엘티정밀 주식회사,20241114,H01M 50/107,H,10,2,8,⑦ 방법+방법,방법|방법,12552,2402,104,4,0,0,4,0,94,4,False,True,True,False,False,False
1020250022013,스트링별 절연저항의 진단이 가능한 태양광발전시스템¶스트링별 절연저항의 진단이 가능한 태양광발전시스템{A Ph,(주)에코파워텍,20250220,H02S 50/00,H,34,2,32,⑥ 장치+장치,시스템|시스템,18191,728,220,24,0,0,32,4,268,0,False,True,True,False,False,False
1020250120643,교량의 연단거리 측정장치¶교량의 연단거리 측정장치{An edge distance measuring devic,(주)건설기술원,20250827,G01B 5/0002,G,6,2,4,⑥ 장치+장치,장치|장치,8505,1804,133,4,0,0,4,0,69,6,False,True,True,False,False,False
1020250157277,인공지능 모델 학습을 위한 건축 도면 분석 방법 및 장치¶인공지능 모델 학습을 위한 건축 도면 분석 방법 및,주식회사 프렌들리스페이스랩스,20251027,G06F 30/27,G,40,6,34,② 순수형,방법|방법|장치|방법|방법|장치,15392,920,47,54,0,0,54,2,90,5,False,True,True,False,False,False
