출원번호,발명의 명칭,출원일자,CPC,독립항 수,종속항 수
1020227039874,도금 장치 및 기판 세정 방법,20211104,C25D 21/08,2,9
1020210149346,연결 기구,20211103,H01L 21/304,8,4
1020210149458,산업용 로봇,20211103,B25J 17/02,2,7
1020210148021,산화물 반도체막 및 반도체 장치,20211101,H01L 29/04,9,0
1020227025385,도금 장치,20211028,C25D 17/00,2,10
1020210146002,제어 방법,20211028,G06F 3/12,2,14
1020227033794,도금 장치,20211028,C25D 17/00,2,3
1020210144166,접착제 조성물 및 접속체,20211027,C09J 201/00,5,4
1020210142508,세라믹 히터,20211025,H05B 3/74,2,5
1020210141726,회전 액추에이터 및 로봇,20211022,B25J 9/12,2,1
1020210141979,"게임 장치, 프로그램 및 게임 시스템",20211022,A63F 13/825,5,5
1020210139103,반도체 장치의 제조 방법,20211019,H01L 21/56,1,8
1020210139209,유기 EL 패널의 제조 방법,20211019,H10K 71/00,2,3
1020227029287,도금 처리 방법,20211018,C25D 21/04,1,4
1020227029289,도금 방법 및 도금 장치,20211018,C25D 21/08,9,4
1020210138488,마찰 교반 접합 장치 및 마찰 교반 접합 방법,20211018,B23K 20/12,2,12
1020210136274,산업용 로봇의 제어 장치,20211014,B25J 19/06,3,3
1020210136253,"수지 공급 방법, 수지 성형품의 제조 방법 및 수지 성형 장치",20211014,B29C 43/34,7,4
1020227042093,프리웨트 처리 방법,20211014,C25D 7/12,2,8
1020210135505,기판 세정 장치 및 기판 처리 장치,20211013,H01L 21/02,5,2
1020210133804,산업용 로봇,20211008,B25J 19/00,3,4
1020210132833,"평탄화 방법, 평탄화 시스템 및 물품 제조 방법",20211007,G03F 7/00,4,10
1020210132821,모터 구동 장치 및 냉동 기기,20211007,H02P 27/08,3,4
1020210130646,산업용 로봇,20211001,B25J 9/16,1,3
1020237016689,"폴리이미드 수지 전구체, 폴리이미드 수지, 금속장 적층판, 적층체 및 플렉시블 프린트 배선판",20211001,C08G 73/10,5,6
1020237013617,"예측 장치, 및 예측 방법",20210929,G01N 3/00,2,14
1020210128576,아크 트래킹 용접 방법 및 용접 장치,20210929,B23K 9/127,2,5
1020210128426,"산업용 로봇의 핸드, 산업용 로봇",20210929,B25J 11/00,3,4
1020227027989,도금 장치,20210928,C25D 17/00,1,4
1020210127649,화상 형성 장치 및 그의 제어 방법,20210928,B41J 29/38,3,20
1020210126997,압축기 유닛 및 압축기 유닛 제어용 프로그램,20210927,F04B 49/00,2,4
1020210127004,"구동 회로, 구동 회로의 제작 방법 및 구동 회로를 이용한 표시 장치",20210927,G09G 3/3283,2,1
1020227015224,도금 장치 및 린스 처리 방법,20210910,C25D 21/08,2,11
1020210120770,"위상 시프트 마스크 블랭크, 위상 시프트 마스크의 제조 방법, 및 위상 시프트 마스크",20210910,G03F 1/26,7,11
1020210120761,산업용 로봇,20210910,H01L 21/687,1,3
1020210119481,용접 방법,20210908,B23K 26/14,1,5
1020210118115,"핵 재료, 전자 부품 및 범프 전극의 형성 방법",20210906,B23K 35/26,4,2
1020210116834,반송 장치 및 반송 방법,20210902,H01L 21/677,3,8
1020210116277,θ 스테이지 기구 및 전자 빔 검사 장치,20210901,G01N 23/2204,2,8
1020210115257,Ga2O3계 단결정 기판,20210831,H01L 21/02,1,8
1020210112452,"위치 제어 장치, 위치 제어 방법, 및 초음파 영상 시스템",20210825,G01N 29/06,10,2
1020237008973,통신 기기용 부품,20210825,C08L 71/12,1,10
1020210111583,"통신 디바이스, 컴퓨터 판독가능 매체, 및 통신 시스템",20210824,H04L 9/08,4,7
1020210110813,에칭 방법,20210823,H01L 21/306,4,9
1020210110875,적층 코일 부품,20210823,H01F 17/04,1,4
1020210110214,적층 코일 부품,20210820,H01F 17/04,2,5
1020210109194,광학 측정 장치,20210819,G01J 3/02,5,2
1020210109379,기판 반송 시스템의 제어 방법 및 기판 반송 시스템,20210819,H01L 21/68,3,2
1020210108413,수지 성형 장치 및 수지 성형품의 제조 방법,20210818,B29C 43/18,3,7
1020210108711,상태 감시 장치 및 유체압 구동 장치,20210818,F15B 19/00,1,7
1020210107062,연마 장치 및 그 제어 방법 및 드레싱 조건 출력 방법,20210813,H01L 21/304,3,13
1020210106858,"실장 장치, 및 반도체 장치의 제조 방법",20210812,H01L 21/67,3,7
1020210105798,"다이 본딩 장치, 클리닝 헤드 및 반도체 장치의 제조 방법",20210811,H01L 21/67,3,18
1020210104565,다이 본딩 장치 및 반도체 장치의 제조 방법,20210809,H01L 21/67,13,10
1020210102324,화학 강화 유리,20210804,C03C 21/00,4,27
1020210102328,이에프이엠,20210804,H01L 21/677,2,3
1020210102398,수지 성형 장치 및 수지 성형품의 제조 방법,20210804,B29C 45/02,6,5
1020210101849,시트 공급 장치 및 프린트 장치,20210803,B41J 15/04,10,13
1020210101727,"다이 플레이트, 수지 기계 및 다이 플레이트의 노즐 가열 방법",20210803,B29C 48/86,12,6
1020210098965,땜납 합금,20210728,B23K 35/26,4,1
1020210099085,다이 본딩 장치 및 반도체 장치의 제조 방법,20210728,H01L 21/67,7,11
1020210098324,"게임 지원 시스템, 프로그램, 및 정보 통신 단말기",20210727,A63F 13/65,8,11
1020210096239,"플라스마 CVD 장치, 및 필름의 제조 방법",20210722,C23C 16/511,4,12
