출원번호,사무소,대리인,MainCPC,CPC섹션,도입_도면목록선행,도입_용어정의선행,JP_실시형태,실시형태_횟수,실시예_횟수,실시용어_주,실시예구조,복수실시예_마커수,변형예_유무,수치한정_빈도,용어_실질정의,용어_보일러플레이트,용어_서수사,용어_인라인약칭,도면참조_방식,도면수,도면참조_per1000자,도면당_분량,전개앵커,전개앵커_v2.1,EMB_분량,BG_분량,효과_채움,효과_정성,면책_도입,면책_말미,면책_전체,JP변형예
1020240177061,kimandjang,이재훈,A01M 9/00	(2014.01),A,0,0,0,0,2,실시예,단일,0,0,0.4,0,0,0,0,혼용,9,35.0,604,도면-공간,,5436,2419,1,0,0,0,0,0
1020240147229,kimandjang,이재훈,H01M 10/6567	(2014.01),H,0,0,0,0,12,실시예,단일,0,0,0.0,0,0,0,0,혼용,13,10.6,719,도면-공간,,9352,2478,1,0,0,0,0,0
1020250055454,kimandjang,김기호,E01D 21/00	(2006.01),E,0,0,0,0,12,실시예,단일,0,1,0.3,0,0,0,0,혼용,9,20.6,366,도면-공간,,3298,482,1,1,0,0,0,0
1020250003324,kimandjang,김기호,E01B 29/02	(2006.01),E,0,0,0,0,9,실시예,단일,0,0,0.0,0,0,0,0,혼용,14,17.5,172,동작-시간,,2405,834,1,1,0,0,0,0
1020250003486,kimandjang,이승현,E01C 5/00	(2006.01),E,1,0,0,0,5,실시예,단일,0,1,0.5,0,0,0,1,혼용,27,34.7,491,도면-공간,,13267,807,1,1,0,0,0,0
1020240141027,kimandjang,김현진,H02S 50/00	(2014.01),H,0,1,0,0,5,실시예,단일,0,0,0.3,0,1,0,0,괄호주도,19,7.9,759,도면-공간,,14421,506,1,0,0,0,0,0
1020250042688,kimandjang,이정석,G06Q 50/22	(2024.01),G,0,0,1,9,24,실시예,단일,0,1,0.2,0,0,0,0,소수,5,5.7,2976,동작-시간,,14881,2802,1,1,0,0,1,0
1020240157760,kimandjang,이재훈,B65D 5/20	(2025.01),B,0,0,1,1,9,실시예,단일,0,0,0.0,0,0,1,0,혼용,7,22.5,1138,도면-공간,,7967,1078,1,0,1,0,1,0
1020240167890,kimandjang,이석재,B08B 5/02	(2006.01),B,0,0,1,1,2,실시예,단일,0,1,0.3,0,0,0,0,혼용,5,31.6,1726,도면-공간,,8632,1308,1,0,0,0,0,0
1020250068250,kimandjang,이재훈,B61L 1/18	(2006.01),B,0,0,0,0,9,실시예,단일,0,1,0.6,0,0,0,0,인라인주도,4,2.9,19254,동작-시간,,77016,9547,1,1,0,0,0,0
